Date,Year,Donor,Items,Value ($),Country,Continent,Regime
03/05/2013,2013,Her Excellency Laura Chinchilla Miranda,"26.5"" × 34"" neo-pop art style print of the National Theater in San Jose, Costa Rica by Carolina Rodriguez. ",590,Costa Rica,South America,Flawed Democracy
03/05/2013,2013,His Excellency Mauricio Funes,Glass sculpture of a woman carrying a jug on wooden base with gold etching. ,490,El Salvador,North America,Flawed Democracy
02/05/2013,2013,His Majesty King Abdullah II ibn Al Hussein,"Framed photograph of President Obama and King Abdullah II, signed by His Majesty. Hardcover book, title: “Madi: A Boundless Life.” 2012 limited-edition print of seated man with plant by Hussein Madi. Photo album of President Obama's visit to the Hashemite Kingdom of Jordan. ",1535,Jordan,Asia,Authoritarian
23/04/2013,2013,His Highness Sheikh Hamad Bin Khalifa Al Thani,Circular silver platter engraved with major world cities and global positioning coordinates with distance from the State of Qatar. ,6500,Qatar,Asia,Authoritarian
12/04/2013,2013,His Excellency Cui Tiankai,Large gold-inlaid jar in “Five Oxen” design from a historical Tang Dynasty picture. ,1800,China,Asia,Authoritarian
01/04/2013,2013,His Excellency Lee Hsien Loong,Brown upholstered chair with footrest. ,4000,Singapore,Asia,Flawed Democracy
28/03/2013,2013,His Excellency Macky Sall,"Four traditional Senegalese outfits in black, purple, white, and beige. 14"" bronze sculpture of a horse with rider holding a sword. ",1420,Senegal,Africa,Flawed Democracy
26/03/2013,2013,His Excellency Wang Qishan,"Two 8"" × 5"" multi-colored porcelain Chinese temple dogs. ",450,China,Asia,Authoritarian
25/03/2013,2013,Ms. Vera Baboun,Woodcut statue of the angel Gabriel and the Star of Bethlehem. ,1380,Israel,Asia,Flawed Democracy
22/03/2013,2013,His Excellency Shimon Peres,Clock depicting United States and Israeli times and temperatures with presentation plaque. Framed Medal of Distinction and framed certificate honoring President Obama. ,835,Israel,Asia,Flawed Democracy
21/03/2013,2013,His Excellency Mahmoud Abbas,"Painting of President Obama juxtaposed with President Lincoln with gold border. Photo album of President Obama's visit to the West Bank bound in green leather with gold accents and emblem of Palestinian Authority. Photo of Palestinian-American veterans marching in parade in Chicago, Illinois. Olive wood carved manger scene. ",414,Palestine,Asia,Hybrid Regime
20/03/2013,2013,His Excellency Benjamin Netanyahu,"0.04 square millimeters engraved small chip with side-by-side texts of the United States and Israeli Declarations of Independence affixed to a 1"" × 1"" Jerusalem stone, all contained in display box with magnifying view piece. ",2700,Israel,Asia,Flawed Democracy
18/03/2013,2013,His Excellency Enda Kenny,"Crystal bowl with Saint Patrick's Day 2013 inscription and shamrock detail by Sean Egan. Limited-edition book, title: “On Canaan's Side” with inscription, signed by the author. Leather-bound book, title: “Atlas Of The Great Irish Famine” signed by the donor. Framed poem, title: “The Lakeisle of Innisfree”. ",1807,Ireland,Europe,Full Democracy
16/03/2013,2013,His Excellency Dyusen Kaseinov,Silver covered plate commemorating the International Day of Nowruz. ,425,Turkey,Asia,Hybrid Regime
12/03/2013,2013,His Excellency Ali Zeidan,"Large silver platter engraved with city scene and inscription. Large woven rug in red, white, green, and black. ",800,Libya,Africa,Authoritarian
12/03/2013,2013,His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar `Ali Saifuddien Sa'adul Khairi Waddien,"Gold decorated round box with inscribed lid, lined with red velvet. ",490,Brunei Darussalam,Asia,N.N.
22/02/2013,2013,The Honorable Koji Matsuzaki,"Wakasa-nuri lacquered pen made in Obama City, Japan, with red and gold detail. ",640,Japan,Asia,Flawed Democracy
14/02/2013,2013,His Excellency Giorgio Napolitano,"Book, title: “L'Italia Unita: 150 Anniversario Unita d'Italia” with light brown leather binding and slip case. Small silver and blue picture frame with red corners. ",1250,Italy,Europe,Flawed Democracy
11/01/2013,2013,His Excellency Kenichiro Sasae,Kutani porcelain Henko jar depicting dogtooth violets and a sparrow against a white background by Toshito Nakamura accompanied with a dusting cloth. ,765,Japan,Asia,Flawed Democracy
10/12/2012,2012,His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar `Ali Saifuddien Sa'adul Khairi,"Scented candle. Pewter and silver picture frame. Book, title: “In Wildness Is the Preservation of the World,” photos by E. Porter and text by H.D. Thoreau. Book, title: “Everyday Heroes,” by K. Fried. Book, title: “Where Miracles Are Born and Squandered,” by T. Lane. Two ceramic bowls with stars and stripes. Two ceramic mugs with stars and stripes. Cutting board. Pottery vase. Wooden bowl from Hawaii. Christmas wreath. Hanging stained glass sign reading “Obama 2012.” Glass plate painted with red and black checkerboard. Handcrafted painted game table. Large brown trunk. ",1906,Brunei Darussalam,Asia,N.N.
28/11/2012,2012,His Royal Highness Haji Al-Muhtadee Billah,"Silver filigree bowl with raised floral designs around the bowl, pedestal base, a polished band around the center with inscription, and lid with knob on top. ",650,Brunei Darussalam,Asia,N.N.
27/11/2012,2012,His Excellency Enrique Peña Nieto,"5"" wide Aztec calendar stamped on a pure silver coin weighing one kilogram. ",1701,Mexico,North America,Flawed Democracy
20/11/2012,2012,Samdech Akka Moha Sena Padel Techo Hun Sen,"6"" tall x 4"" wide short silver vase with raised decorative designs. ",650,Cambodia,Asia,Authoritarian
20/11/2012,2012,His Excellency U Thein Sein,Silver-tinted goblet with pointed lid and flower etchings. ,650,Myanmar,Asia,Authoritarian
18/11/2012,2012,Her Excellency Yingluck Shinawatra,Royal Bone Chinaware tea set. Framed photograph of President Obama and the Prime Minister. ,1000,Thailand,Asia,Hybrid Regime
17/11/2012,2012,Daw Aung San Suu Kyi,"30"" x 18"" framed painting of a city at sunset, painted by donor. ",420,Myanmar,Asia,Authoritarian
16/11/2012,2012,Mr. Somnuk Thanadechakul,"41"" × 51"" framed sketch of President Obama on canvas in monochrome by Praseart Sriratchatchawan. ",1600,Thailand,Asia,Hybrid Regime
22/10/2012,2012,His Excellency Takeo Akiba,Calligraphy art by Hoin Yamoda. Calligraphy by Douzen Ueno. ,920,Japan,Asia,Flawed Democracy
16/10/2012,2012,Her Excellency Yingluck Shinawatra,"Stationery set of varying paper sizes, envelopes, and letter opener, held within painted black wooden box. ",450,Thailand,Asia,Hybrid Regime
27/09/2012,2012,His Excellency Tsakhiagiin Elbegdorj,"41"" long saber with 34"" blade, silver filigree handle and sheath. ",440,Mongolia,Asia,Flawed Democracy
24/09/2012,2012,Her Excellency Portia Simpson Miller,Earthenware ceramic head sculpture by Jamaican artist. Gold lapel pin reading “Jamaica 1952-2012”. ,2216,Jamaica,North America,Flawed Democracy
29/08/2012,2012,His Excellency Hu Jintao,"14"" tall vase with lotus pattern in white and blue. ",950,China,Asia,Authoritarian
18/06/2012,2012,His Excellency Vladimir Putin,"8"" x 11"" silver chalice with ornate blue designs on bowl and base. ",3400,Russian Federation,Europe,Authoritarian
17/06/2012,2012,His Excellency Felipe de Jesús Calderón Hinojosa,"10"" black wooden coyote suspended in metal display box. Coca-Cola bottle decorated with beads. Book, title: “Rastros Irrastreables, Artwork by El Nacho.” Two collared button-down shirts, one white and one white with blue stripes. Round silver cufflinks by FCO OTERO. Wooden chest with lock housing five bottles of liquor. ",2788,Mexico,North America,Flawed Democracy
07/06/2012,2012,His Excellency Benigno S. Aquino III,"18"" hand-woven Buntal fiber box with laminated rainbow shell lid and bone handle on a mahogany stand. ",870,Philippines,Asia,Flawed Democracy
06/06/2012,2012,His Excellency Dimitry Medvedev,"8"" x 10"" painting of winter landscape, artist unknown. Book, title: “Rostov Enamels,” by V. Borisova. ",540,Russian Federation,Europe,Authoritarian
22/05/2012,2012,His Excellency Werner Faymann,Silver desk set by Rozet and Fischmeister. ,650,Austria,Europe,Full Democracy
21/05/2012,2012,His Excellency Abdullah Gül,"Book, title: “President Abdullah Gül: In His Own Words.” 5"" tall silver bowl with Turkish star and moon on top rim. ",1435,Turkey,Asia,Hybrid Regime
21/05/2012,2012,The Honorable Julia Gillard,Australian flag presented in custom box made of Australian wood. ,490,Australia,Oceania,Full Democracy
20/05/2012,2012,His Excellency Ilham Aliyev,"Book, title: “Azerbaijan.” Book, title: “Azerbaijan: The Land of Tolerance.” Book, title: “Azerbaijani Carpets Garabagh Group,” by V. Muradov. Six gold cups with blue and silver engraving. ",553,Azerbaijan,Asia,Authoritarian
20/05/2012,2012,His Excellency Rosen Plevneliev,"9"" diameter gold wreath of oak leaves and acorns. ",390,Bulgaria,Europe,Flawed Democracy
19/05/2012,2012,His Excellency Dimitry Medvedev,"13"" tall x 17"" diameter white porcelain vase with black and red divergent pattern and images of the White House and Kremlin on opposite sides, artist unknown. Photo book of the Medvedev presidency. ",3460,Russian Federation,Europe,Authoritarian
18/05/2012,2012,His Excellency François Hollande,"25"" x 34"" set of 20 engraved prints of the 2005 edition of the Turgot map of Paris. Beige patent personal items bag. Woven beige leather wallet. Beige leather tote bag. Sothys bath products. ",1473,France,Europe,Flawed Democracy
18/05/2012,2012,His Excellency Hu Jintao,"16"" tall antique yellow vase with flower design. ",440,China,Asia,Authoritarian
08/05/2012,2012,His Excellency Vaclav Klaus,"5"" tall x 3.5"" wide red etched Egerman crystal vase with four small feet and leaf designs. ",680,Czechia,Europe,Flawed Democracy
30/04/2012,2012,His Excellency Juan Manuel Santos Calderón,"Large, high-quality book, title: “Cien Años de Soledad,” by G.G. Marquez, with hand-drawn pictures presented in wood and canvas case. ",1000,Colombia,South America,Flawed Democracy
13/04/2012,2012,His Excellency Juan Manuel Santos Calderon,"Silver figure representing oversized coffee bean. 29"" long decorative sash. Hardcover book, title: “Un Pais de Opportunidades”. ",942,Colombia,South America,Flawed Democracy
12/04/2012,2012,His Royal Highness Crown Prince Salman bin Abdulaziz Al Saud,"10"" tall x 12"" wide gold-plated clock with mother of pearl face and horse figure on the base. ",16500,Saudi Arabia,Asia,Authoritarian
09/04/2012,2012,Her Excellency Dilma Rousseff,"32"" x 39"" framed cross-stitch art of the President and First Lady by artist G. Alves. 31"" x 19"" painting on wood, title: “Ensala,” by F. Galeno. ",860,Brazil,South America,Flawed Democracy
02/04/2012,2012,The Right Honorable Stephen Harper,"27"" x 40"" painting, title: “Enemy in Sight,” by P. Rindlisacher, depicting a naval scene from 1813. ",765,Canada,North America,Full Democracy
20/03/2012,2012,His Excellency Enda Kenny,"Crystal bowl centerpiece. 27"" tall bronze statue of James Hoban. Certificate of President Obama's Irish heritage. Two silver shamrock charm bracelets. Lamb's wool scarf. Lamb's wool blanket. ",7246,Ireland,Europe,Full Democracy
14/03/2012,2012,The Right Honorable David Cameron,"Custom Dunlop table tennis table with United States and United Kingdom decals, inscription, and paddles. ",1100,Ireland,Europe,Full Democracy
14/02/2012,2012,His Excellency Mikheil Saakashvili,"Traditional Georgian headpiece of black wool, silk, and gold embroidery. One copy of the Georgian constitution. Copy of Georgian declaration of independence in display case. ",750,Georgia,Europe,Hybrid Regime
13/02/2012,2012,His Excellency Xi Jinping,"Basketball in custom red, white, and blue coloring, autographed by donor. 20"" x 79"" replica painting, title: “Five Oxen from the Tang Dynasty,” by H. Haung. ",740,China,Asia,Authoritarian
18/01/2012,2012,His Excellency Jorge Argüello,Silver ornament dagger in a black display box. ,440,Argentina,South America,Flawed Democracy
13/01/2012,2012,His Excellency Elin Suleymanov,"54"" x 39"" pure wool hand-woven rug artwork, title: “Magic Knots” in leather carrying bag. Blue, purple, and orange silk head shawl. ",405,Azerbaijan,Asia,Authoritarian
21/12/2011,2011,Her Excellency Nirupama Rao,"24"" x 34"" elaborate black rug with gold color and floral bead detailing. ",1100,India,Asia,Flawed Democracy
17/12/2011,2011,His Excellency Dr. H. Susilo Bambang Yudhoyono,Hand-carved wooden sculpture in blue display box. ,430,Indonesia,Asia,Flawed Democracy
13/12/2011,2011,His Excellency Nicolas Sarkozy,"15"" x 12"" black leather “Neo Igor” Louis Vuitton men's business bag with luggage tag attached and embossed with “B.O.” ",2310,France,Europe,Flawed Democracy
11/12/2011,2011,His Excellency Nouri al-Maliki,"12"" x 8"" silver tray, engraved with a scene of a palace, labeled “Iraq,” and floral and geometric decorative pattern. The tray is sealed under glass in a leather display case, all held in 13"" x 9.5"" x 2.25"" leather box. ",460,Mali,Africa,Hybrid Regime
01/12/2011,2011,His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar `Ali Saifuddien Sa'adul Khairi Waddien,"Small enamel keepsake box. One bag of coffee. One candle. Six steak knives. Four Christmas mugs. Book, title: “The Fifty Year Career of Hollywood's Greatest Costume Designer,” by J. Jorgensen. Glass “PEACE” plate. Small stainless steel tea infuser. Small stainless steel sugar bowl. Small stainless steel cream receptacle. Stainless steel coffee pot. 7"" tall crystal candlestick. 14"" high handmade shaker box. Bowl made from “Innervisions” Record by Stevie Wonder. 14"" x 11"" painting, title: “A Forest,” artist unknown. Small white keepsake box. Decorative shell display plate. 7"" x 7"" shell picture frame. 10"" x 10"" Chinese checkers plate. 15"" x 15"" glass plate with game board painted on it. Large brown basket. Set of three faux books in multiple colors. ",554,Brunei Darussalam,Asia,N.N.
29/11/2011,2011,His Excellency Dmitry Medvedev,"11"" x 10"" wooden box, lined with green velvet, has “the President” and “Barack Obama” embossed on top of a green name plate, contains a DVD titled, “Formula of Power” with the President's picture on the front of the case. 19.125"" x 17.8125"" miniature enamel painting of the Moscow Kremlin, enclosed in a copper frame. ",1050,Russian Federation,Europe,Authoritarian
22/11/2011,2011,His Excellency Dr. H. Susilo Bambang Yudhoyono,"Black leather and multi-colored batik-bound padfolio, embossed with “19th ASEAN Summit and Related Summits, Bali—Indonesia, 17-19 November 2011” in gold lettering, accompanied by an ASEAN writing pad, a silver bookmark decorated with a “Bali Dancer,” an Indonesia 2011 lapel pin, and a Montblanc pen, all contained in a gold-colored presentation box. ASEAN Summit green batik Leader's shirt in orange, red, black, white, gold, and green. 31"" x 23"" framed oil portrait of the Chiefs of State who attended the East Asia Summit in Indonesia in November 2011 with the words: “East Asia Summit in Indonesia November 2011.” ",1945,Indonesia,Asia,Flawed Democracy
18/11/2011,2011,His Excellency Dr. Purnomo Yusgiantoro,"Book, title: “The Footprints of Time: Menapak Waktu,” by Purnomo Yusgiantoro. Brown, white, and black bag with a black zipper, and a red and white ribbon rosette on front. Book, title: “Iwan Tirta Batik,” by Sebuah Lakon. Book, title: “Dhenok: The Semarangan Wedding Arts & Culture,” by Ineke F. Priyo. Book, title: “The Journey: Batik Pesisr from Semarang, Kendal, Demak & Kudu,” by Ieneke F. Priyo. Iwan Tirta private-collection shawl, men's shirt, with blue, brown, and white Indonesian batik design depicting birds. ",390,Indonesia,Asia,Flawed Democracy
18/11/2011,2011,His Excellency Manmohan Singh,"20"" octagonal white marble table top with design of inlaid blue and yellow flowers, and octagonal stand decorated with blue and red flowers. ",1375,India,Asia,Flawed Democracy
15/11/2011,2011,The Honorable Julia Gillard MP,"Book, title: “That Deadman Dance” authored by Kim Scott. Book, title: “Truth” authored by Peter Temple. Book, title: “Breath” authored by Tim Winton. 22"" x 13"" framed collection of historic Australian ANZUS stamps. Custom-made, authentic Akubra Cattleman hat in tanmark brown, made of pure fur felt with dark brown leather trimmings. 17"" x 17"" framed black-and-white commemorative historical picture of a ship, with plaque commemorating 60th Anniversary of the ANZUS Alliance. ",511,Australia,Oceania,Full Democracy
15/11/2011,2011,The Honorable Gabino Cue Monteagudo,"31.5"" x 39"" oil painting, title: “The Celebrate” by artist Rene Jimenez, depicting a turkey's face and neck, float-mounted in a red wooden frame. Large painting made up of nine panels titled “The Day and Night—in the White House” by Rene Jimenez, depicting Thanksgiving at the White House. 60 polychrome prints of the painting “The Day and Night—in the White House,” each in a white envelope with a black monochrome image of the U.S. Capitol. ",13200,Mexico,North America,Flawed Democracy
14/11/2011,2011,His Excellency Benigno S. Aquino III,"7"" tall Baynihan centerpiece made of cast aluminum in nickel plate with a black granite stone base, portraying men carrying a traditional home. ",390,Philippines,Asia,Flawed Democracy
14/11/2011,2011,His Excellency Seydou Bouda,"27"" brass statue of a woman carrying a water jug on her head and a small child on her back. 25"" brass statue of a man wearing a conical hat and carrying a stick over his shoulders that suspends two water jugs, each jug and “rope” is detachable from the statue. ",840,Burkina Faso,Africa,Hybrid Regime
13/11/2011,2011,His Excellency YAB Dato' Sri Haji Mohd Najib bin Tun Haji Abdul Razak,"6"" x 6"" x 2.25"" ornate pewter jewelry box with velvet interior, presented in a 9"" x 9"" x 4"" blue velvet box. ",525,Malaysia,Asia,Flawed Democracy
12/11/2011,2011,His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar `Ali Saifuddien Sa'adul Khairi Waddien,"8"" x 7"" silver octagonal box with floral/leaf design, in glass case inside a yellow box with knob, and includes a pendant of the seal of Brunei Darussalam. ",1200,Brunei Darussalam,Asia,Authoritarian
12/11/2011,2011,His Excellency Sebastián Piñera Echenique,"5"" tall condiment pot and a silver utensil, both made of Chilean silver. ",725,Chile,South America,Flawed Democracy
10/11/2011,2011,His Excellency Hu Jintao,"72"" x 24"" gray, blue, and green cashmere scarf, made by 1436 Erdos. ",412,China,Asia,Authoritarian
05/11/2011,2011,His Excellency Mahinda Rajapaksa,"Six pouches of coffee contained in a 14"" x 9.5"" x 5"" wooden box, interior is red velvet and divided into six compartments, each containing a small wicker box, includes a depiction of the American flag with an eagle in the foreground made from precious and semiprecious stones, includes a 9"" x 7"" frame with a gold plaque. Diamond-shaped cufflinks, made from 10-karat white gold and inset with nine blue sapphires each, presented in a 5.25"" x 5.5"" x 2.5"" wooden box. ",635,Sri Lanka,Asia,Flawed Democracy
13/10/2011,2011,His Excellency Lee Myung-bak and Mrs. Kim Yoon-ok,"Book, title: “The Uncharted Path: An Autobiography” authored by President Lee Myung-bak. 12.5"" white porcelain plate, with painted images of the President and First Lady, contained within a 14"" x 14"" x 6"" mahogany box with golden turtle latch and iridescent depictions of birds. 14"" x 5.5"" 10.5"" black lacquer box inlaid with mother of pearl, and box is decorated with iridescent scenes of sailboats, birds, and scenery of the landscape of the Republic of Korea, both contained inside a 15"" x 6"" x 11.5"" blue presentation box. ",778,Republic of Korea,Asia,Flawed Democracy
06/10/2011,2011,His Excellency Beji Caid Essebsi,"100"" x 65"" handmade traditional woven Tunisian rug, design is geometric and primarily red with black, yellow, white, and blue accents. ",900,Tunisia,Africa,Flawed Democracy
23/09/2011,2011,His Excellency Salva Kiir Mayardit,"A 7"" x 9"" plaque congratulating the President on his election in a wooden box. 23"" x 11"" ebony black rhino. 15"" hand-etched bowl with an image of Africa and African animals. ",865,South Sudan,Africa,N.A.
23/09/2011,2011,His Excellency Recep Tayyip Erdogan,"19"" x 12"" ornate silver serving tray with mirror inset, in a 20"" x 21"" x 7.5"" blue velvet presentation box. 16"" x 5"" 6"" ornate silver serving dish in a 20"" x 21"" x 7.5"" blue velvet presentation box. ",1580,Turkey,Asia,Hybrid Regime
23/09/2011,2011,His Excellency Hamid Karzai,"Large Afghan rug in mostly tan, black, brown, and green geometric patterns. ",1200,Afghanistan,Asia,Authoritarian
22/09/2011,2011,The Honorable Dr. Navinchandra Ramgoolam,"35"" x 26"" oil painting, depicting the Rempart Mountain in the Republic of Mauritius, signed by “Ashley 2011,” in a silver frame with an engraved plaque. ",500,Mauritius,Africa,Full Democracy
21/09/2011,2011,His Excellency Nursultan Nazarbayev,"Bronze, three-legged candlestick holder on a 6.25"" circular stone base, atop the three legs sits a ring depicting a camel caravan and ram heads. ",1245,Kazakhstan,Asia,Authoritarian
07/09/2011,2011,His Excellency Donald Franciszek Tusk,Waterman Expert II black lacquer ball point pen with gold color trimmings. Black 64GB iPad 2. ,784,Poland,Europe,Flawed Democracy
01/09/2011,2011,His Majesty Mohammed VI,"5' x 4' framed black and white photograph of a child looking down and wrapped in an American flag, given to commemorate the 10th Anniversary of the September 11th attacks. ",650,Morocco,Africa,Hybrid Regime
01/08/2011,2011,His Excellency Nicolas Sarkozy,"Crystal golf statuette by Baccarat, depicting a golfer with his iron pitched over his head in the moment before striking a ball. Crystal golf statuette by Baccarat, depicting a golfer with his iron out in front in a follow-through posture. Black Hermes golf travel bag with canvas cover and carrying strap. ",1650,France,Europe,Flawed Democracy
01/08/2011,2011,Her Excellency Fatou Danielle Diagne,"Black leather briefcase and a black leather portfolio, both with sterling silver pieces mounted on the leather engraved with “Barack H. Obama.” ",660,Senegal,Africa,Flawed Democracy
29/07/2011,2011,His Excellency Alpha Condé,"29"" x 8"" x 15"" ebony wood carving of a mask on four legs. ",850,Guinea,Africa,Authoritarian
22/07/2011,2011,The Right Honorable John Key,"11.5"" x 4"" traditional Maori weapon with a short broad-bladed club, made of the sacred greenstone, carved by Aden Hoglund, and contained in a 16"" x 7"" x 3"" wooden presentation box. ",3200,New Zealand,Oceania,Full Democracy
05/07/2011,2011,His Excellency Jose L. Cuisia,"Bamboo bicycle, handmade by the Bambike Company. ",1060,Philippines,Asia,Flawed Democracy
01/07/2011,2011,His Excellency Giorgio Napolitano,"Book, title: “L`Italia Unita: 150 anniversario Unita d' Italia.” ",1000,Italy,Europe,Flawed Democracy
27/06/2011,2011,Council of Traditional Chiefs and Kings of Cote d'Ivoire,"Traditional Chief's robe (Kita), from the Akan People. ",450,Côte d'Ivoire,Africa,Authoritarian
16/06/2011,2011,His Excellency Tsakhiagiin Elbegdorj,"Book, title: “Genghis Khan and the Making of the Modern World,” by Jack Weatherford. 19” tall bronze statue depicting a man riding a horse, on an 8.5"" x 4.5"" x 1.5"" granite pedestal, presented in brown suede bag. ",440,Mongolia,Asia,Flawed Democracy
14/06/2011,2011,His Excellency Goodluck Ebele Azikiwe Jonathan,"12"" x 8"" x 6"" gold-colored bust of woman, on a 6"" x 6"" x 2"" wooden base. ",780,Nigeria,Africa,Hybrid Regime
09/06/2011,2011,His Excellency Ali Bongo Ondimba,"14"" blue mask sculpture by Daum, on a 10"" black and silver stand, enclosed in 34"" x 16"" x 13"" red box. ",52695,Gabon,Africa,Authoritarian
06/06/2011,2011,Her Excellency Dr. Angela Merkel,"Kramski putter set, includes: 35"" HPP 340 putter with two protective club head covers, teal HPT 40 training console, HPS 30 Aim Aid set, book title: “The Kramski Putt Philosophy”. ",1400,Germany,Europe,Full Democracy
28/05/2011,2011,His Excellency Donald Franciszek Tusk,"DVD, title: “Best of the Witcher 2: Video Trailers for President Barack Obama,” distributor: Atari. Zubrowka Bison Grass Vodka. Book, title: “Blood of Elves,” by Andrzej Sapkowski. Book, title: “The Last Wish,” by Andrzej Sapkowski. Set of four 2"" x 1.5"" clear glass liqueur glasses, each has “Zubrowka” engraved in white. 13.5"" x 9.75"" x 4.5"" “Witcher 2” gift box, inside are three golden “Witcher 2” coins, a “Witcher 2” book, “Witcher 2” stickers, “Witcher 2” make your own aircraft. 5.5"" x 6.5"" x 3"" ivory-colored bust of “Witcher 2” character “Gwynbleioo,” a DVD box set of “Witcher 2” bonus DVD, Game DVD, and Game Guide. “Witcher 2” playing cards, and 5 wooden die in black sack with “Witcher 2” emblem. 11.75"" x 7"" x 5"" brown leather carrying case with handles and lock. ",497,Poland,Europe,Flawed Democracy
27/05/2011,2011,His Excellency Bronislaw Komorowski,"CD, title: “The Historical Recordings,” by Paderewski, enclosed in a brown leather book. Silver Waldmann brand pen from the 17th Meeting of Presidents of Central European States, enclosed in a 3.5"" x 8"" black leather box. 4.5"" x 6"" wall plaque of Paderewski, enclosed in a 7.5"" x 8"" blue box. Five bottles of flavored liquors by Nalewski Staropolskie. ",715,Poland,Europe,Flawed Democracy
25/05/2011,2011,His Excellency Nicolas Sarkozy,"Lacoste white classic men's polo shirt. Limited-edition “HOPE” fountain pen and Ligne 8 lighter from S.T. Dupont, each in a cherry blossom design, and contained in a 6.5"" x 6.5"" black box with “G8 France 2011” on the top. Bottle of Christian Drouin Pays d'Auge. S.T. Dupont black and silver fountain pen, presented in a 8.5"" x 4.5"" black case. Six black glass goblets in a plastic display case and contained in a 30"" x 18"" red box; 14.35"" tall blue-gray glass sculpture of Bucephalus, Alexander the Great's horse. ",15083,France,Europe,Flawed Democracy
24/05/2011,2011,Her Majesty Queen Elizabeth II,"Red leather-bound book, title: “A Selection of Papers From the Royal Archives 1834-1897,” encased in a 19"" x 16"" x 2"" red leather box. ",2800,Ireland,Europe,Full Democracy
17/05/2011,2011,His Majesty King Abdullah II ibn Al Hussein,"1"" x 7"" x 9"" Porcelain sculpture of Jordanian archway on a black pedestal, presented in dark brown and beige leather-topped box. ",350,Jordan,Asia,Authoritarian
28/04/2011,2011,His Excellency Ricardo Martinelli Berrocal,"14-karat gold bird-shaped cufflinks, presented in 3"" x 2"" x 1.5"" blue leather jewelry box. 5"" x 9"" wood and sterling silver eagle sculpture. ",705,Panama,North America,Flawed Democracy
14/04/2011,2011,His Highness Sheikh Hamad bin Khalifa al-Thani,"30"" circumference gold and silver base with silver statues of two wild goats and a tree with gold clock hanging from it, depicting a desert scene. ",3200,Qatar,Asia,Authoritarian
07/04/2011,2011,His Excellency Juan Manuel Santos,Sterling silver water jug and cup in a blue leather presentation box. ,410,Colombia,South America,Flawed Democracy
28/03/2011,2011,His Excellency Ban Ki-moon,"9"" diameter Tiffany & Co. Revere Pewter bowl, engraved with “Ban Ki-moon Secretary-General United Nations” on one side and the Secretary's signature and United Nations logo on the other, presented in turquoise cloth bag with “Tiffany & Co” printed on top. ",400,United Nations,World,N.A.
22/03/2011,2011,The Honorable Sergio Cabral,"51"" x 40"" digital C print photograph, by artist Vik Muniz, titled “Marat (Sebastiao),” depicting a man using arranged items in the style of David's “Death of Marat.” ",40000,Brazil,South America,Flawed Democracy
20/03/2011,2011,His Excellency Mauricio Funes,"20"" x 18"" x 5"" wooden mask carved into shape of a jaguar head on a 24"" x 12"" x 5"" wooden base with a gold-colored plaque on bottom describing the piece. ",410,El Salvador,North America,Flawed Democracy
20/03/2011,2011,The Honorable Sergio Cabral,"Personalized “Penalty” white soccer jersey with one diagonal black stripe and “Electrobras” in blue on the front. Personalized “Olympikus” red and black striped soccer jersey. Personalized “Fluminenso” green and red soccer jersey with white collar. Personalized “FILA” black and white striped soccer jersey with black collar with “Neo Quimica Genericos” on the front. Personalized yellow Nike Brazil soccer jersey with one horizontal green stripe across chest. Two DVDs, title: 5x Favela Agora por Nos Mesmos. Two DVDs, title: Orfeu. Book, title: “Memorias de um Sargento de Milicias/Memoirs of a Militia Sergeant.” Book, title: “Casa Velha/The Old House,” by: Machado de Assis. Paperback book authored by Manuel Antonio de Almeida. Book, title: “A Alma Encantadora Das Ruas/The Enchanting Soul of the Streets,” by: Joao do Rio. Two sets of DVDs, title: “Unidade de Policia,” distributor: Governo Rio de Janeiro. ",679,Brazil,South America,Flawed Democracy
19/03/2011,2011,Her Excellency Dilma Rousseff,"10"" diameter wooden globe by Eduardo Eleuterio with a cutout of Brazil. Photo album containing 37 photographs of the President during his visit with President Rousseff of the Federative Republic of Brazil, photo album has a hardcover and a medal that reads “Republica Federativa do Brasil/15 de Nov. de 1889”. ",780,Brazil,South America,Flawed Democracy
17/03/2011,2011,His Excellency Enda Kenny,"Leather-bound book, title: “Daniel O'Connell: The Man who Discovered Ireland,” authored by Professor Patrick Geoghegan. 21.5"" x 29.5"" black and white photograph of President John F. Kennedy addressing Irish Oireachtas, formatted in white matte board in a black frame. Fred Curtis Crystal presentation bowl with American flags engraved alongside a shamrock above inscription commemorating St. Patrick's Day Shamrock ceremony at White House, presented in black box with “Fred Curtis Crystal” written on sides and on top. ",3176,Ireland,Europe,Full Democracy
