Date,Year,Donor,Items,Value ($),Country,Continent,Regime
24/01/2015,2015,Mr. Rajnish Kumar,"Model spinning wheel with white tread looped around the wheel. Cloth scroll listing the Seven Social Sins as articulated by Mahatma Ghandi. Book, title: Mahatma Gandhi. Book, title: An Autobiography—The Story of my Experiments with the Truth. Ivory colored cloth. 56""  x  96"" bronze-colored bust of Mohandas Karamchard Gandhi on a wood base. Small burlap tote bag with zipper. Small burlap bag with velcro closure. Large burlap bag with straps and zippers. ",929,India,Asia,Flawed Democracy
15/01/2015,2015,The Right Honorable David Cameron,Framed etching of Stonehenge. ,2090,Ireland,Europe,Full Democracy
23/12/2014,2014,His Excellency Abdelaziz Bouteflika,Box of dates. Twelve bottles of wine. ,475,Algeria,Africa,Authoritarian
22/12/2014,2014,His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar Ali Saifuddien Sa'adul Khairi Waddien,"Two 20"" x 15.5"" and 18"" x 30"" wooden trays coated with green and white resin in a floral pattern. ",1205,Brunei Darussalam,Asia,N.N.
08/12/2014,2014,His Royal Highness Prince William,"Framed, matted, and signed photographic portrait of Prince William. ",888,United Kingdom,Europe,Full Democracy
04/12/2014,2014,His Majesty Abdullah II ibn Al Hussein,"13"" wood box decorated with mosaic pattern of gray and beige tiles and gold-tone crown. ",490,Jordan,Asia,Authoritarian
01/12/2014,2014,His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar Ali Saifuddien Sa'adul Khairi Waddien,"Three 4"" 5"" and 6"" in diameter nesting bowls of clear glass crystal shaped like a spinning top. Four 4"" height x 3"" in diameter rocks glasses shaped like a spinning top. 10"" x 10"" x 15"" cheese tray made of walnut. Book, title: In Color, by Ansel Adams. Book, title: People You'd Like to Know. Book, title: Unlikely Heroes. Automatic tea infuser in penguin shape with timer. Chess set of wooden board and pieces. Twelve scented votive candles. Botanic candle of Saffron de Bois. Scented oil diffuser. 24"" x 15"" x 10"" deep purple snakeskin design storage trunk with silver-tone fastener and handles. ",1277,Brunei Darussalam,Asia,N.N.
19/11/2014,2014,General Raheel Sharif,Silver bowl set on a wooden pedestal. White pashmina scarf with pink and purple flowers. ,495,Pakistan,Asia,Hybrid Regime
18/11/2014,2014,His Excellency Bohuslav Sobotka,"27"" x 30"" framed photograph of former Czech President Vaclav Havel. ",650,Czechia,Europe,Flawed Democracy
14/11/2014,2014,Daw Aung San Suu Kyi,"3"" x 6.5"" x 4.5"" silver box with hinged lid depicting a royal figure surrounded by five attendants. ",465,Myanmar,Asia,Authoritarian
09/11/2014,2014,His Excellency U Thein Sein,"30"" x 40"" painting on fiber board, facsimile of a mural in Myinkaba Kubyauk-gyi Temple. 29"" x 35"" framed painting of the head and shoulders of President Obama, wearing a suit and gazing upward. 12"" x 8"" model of a Burmese harp made of silver. Brown leatherette briefcase with zippered top, stamped “Myanmar 2014.” Book, title: Bamar Snacks Volumes 1 and 2. Booklet, title: ASEAN Summit Leaders. Book, title: Friendly Myanmar. 2014 calendar. Black ballpoint pen. Silver-tone keychain. Business card case. Notebook. Fountain pen with white gold and snowflake emblem. ",2925,Myanmar,Asia,Authoritarian
08/11/2014,2014,Government of the Republic of Union of Myanmar,"Black velvet flip flop sandals. Infinity scarf with burgundy, gray, and white stripes. Infinity scarf with silver and light blue stripes. Two white dress shirts with pocket. Off-white tunic with long sleeves, pockets, and knotted straps in front. Black tunic with long sleeves, pockets, and knotted straps in front. Two-toned blue cashmere shawl with teal embroidery. Dress shirt in shades of purple silk. Teal dress shirt with fuchsia embroidery striping. ",2168,Myanmar,Asia,Authoritarian
07/11/2014,2014,His Excellency Xi Jinping,"Two 34"" x 34"" x 17"" half tables, painted black and gold, with images of pheasants in a natural setting. 49"" x 61"" framed painting in black, white, and gray of a mountain scene and small structures. Commemorative stamp set mounted on eight screen panels, wrapped in silk-floss sheets, and held in a dark wooden case. 83"" x 83"" x 150"" cloisonne pot themed “Peace Across Four Seas,” set on a wood base. Navy blue silk robe with fuchsia lining and floral embroidery inscribed with the APEC logo and includes pockets and a belt. Painting on a scroll depicting scenes of Beijing past and present set on a stand. Two tablet computers, each with case. Red and white cloisonne style fountain pen and signing pen. Black leather computer bag stamped with APEC logo. Teal and black silk jacket with simulated inner jacket and four buttons. Maroon and black silk jacket with simulated inner jacket and four buttons. Cream color silk Nehru shirt. ",8105,China,Asia,Authoritarian
07/10/2014,2014,His Excellency Wang Yi,"Porcelain vase with a blue and white floral pattern set on a dark brown wooden base. CD collection, title: Elegant Sound of China. ",565,China,Asia,Authoritarian
